[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1521632929.324000 3/21/2018, 12:48:49 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, GrowthLiquid
INFO, WEIGHT, 1.000
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, ice
INFO, COMMENT, 
INFO, SEQUENCE FILE: tempscan.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1521632929.322,,1.000000e+002,2.999919e+002,2.330805e-004,0.000000e+000,3,9.915768e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.480103e-002,0.000000e+000,0,,0,
1521633099.230,,1.000000e+002,2.941009e+002,2.382689e-004,0.000000e+000,3,9.897618e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.841187e-002,0.000000e+000,0,,0,
1521633253.173,,1.000000e+002,2.891433e+002,2.439582e-004,0.000000e+000,3,9.911858e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.358032e-002,0.000000e+000,0,,0,
1521633404.302,,1.000000e+002,2.841365e+002,2.479217e-004,0.000000e+000,3,9.911557e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.627563e-002,0.000000e+000,0,,0,
1521633555.151,,1.000000e+002,2.791780e+002,2.536384e-004,0.000000e+000,3,9.905907e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,0.000000e+000,0.000000e+000,0,,0,
1521633707.763,,1.000000e+002,2.742239e+002,2.584232e-004,0.000000e+000,3,9.903349e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.220703e-002,0.000000e+000,0,,0,
1521633857.537,,1.000000e+002,2.691727e+002,2.625384e-004,0.000000e+000,3,9.865457e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,4.690552e-002,0.000000e+000,0,,0,
1521634008.063,,1.000000e+002,2.641764e+002,2.688637e-004,0.000000e+000,3,9.889600e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,4.501343e-002,0.000000e+000,0,,0,
1521634157.299,,1.000000e+002,2.591438e+002,2.753267e-004,0.000000e+000,3,9.893404e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,7.580566e-002,0.000000e+000,0,,0,
1521634305.862,,1.000000e+002,2.541521e+002,2.799353e-004,0.000000e+000,3,9.897735e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.040039e-001,0.000000e+000,0,,0,
1521634454.831,,1.000000e+002,2.491598e+002,2.855705e-004,0.000000e+000,3,9.900281e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.100006e-001,0.000000e+000,0,,0,
1521634602.542,,1.000000e+002,2.441830e+002,2.910382e-004,0.000000e+000,3,9.900333e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.880859e-002,0.000000e+000,0,,0,
1521634750.625,,1.000000e+002,2.391855e+002,2.954828e-004,0.000000e+000,3,9.886886e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,9.210205e-002,0.000000e+000,0,,0,
1521634897.974,,1.000000e+002,2.342170e+002,3.038590e-004,0.000000e+000,3,9.906002e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,5.299377e-002,0.000000e+000,0,,0,
1521635047.780,,1.000000e+002,2.291965e+002,3.107614e-004,0.000000e+000,3,9.908383e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.268005e-001,0.000000e+000,0,,0,
1521635195.732,,1.000000e+002,2.241553e+002,3.169558e-004,0.000000e+000,3,9.899151e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.132050e-001,0.000000e+000,0,,0,
1521635342.925,,1.000000e+002,2.192169e+002,3.234904e-004,0.000000e+000,3,9.899083e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.550293e-002,0.000000e+000,0,,0,
1521635489.287,,1.000000e+002,2.142269e+002,3.335846e-004,0.000000e+000,3,9.915464e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,7.400513e-003,0.000000e+000,0,,0,
1521635634.412,,1.000000e+002,2.092379e+002,3.394801e-004,0.000000e+000,3,9.905728e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,4.229736e-002,0.000000e+000,0,,0,
1521635782.710,,1.000000e+002,2.042737e+002,3.478928e-004,0.000000e+000,3,9.912736e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,3.370667e-002,0.000000e+000,0,,0,
1521635928.824,,1.000000e+002,1.992226e+002,3.564008e-004,0.000000e+000,3,9.911842e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,9.620667e-002,0.000000e+000,0,,0,
1521636073.105,,1.000000e+002,1.943095e+002,3.663614e-004,0.000000e+000,3,9.918375e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,4.890442e-002,0.000000e+000,0,,0,
1521636218.045,,1.000000e+002,1.892853e+002,3.743036e-004,0.000000e+000,3,9.911123e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.900696e-002,0.000000e+000,0,,0,
1521636363.761,,1.000000e+002,1.842142e+002,3.851455e-004,0.000000e+000,3,9.916360e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.923981e-001,0.000000e+000,0,,0,
1521636508.373,,1.000000e+002,1.793336e+002,3.950896e-004,0.000000e+000,3,9.916269e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,1.201019e-001,0.000000e+000,0,,0,
1521636652.707,,1.000000e+002,1.743535e+002,4.061142e-004,0.000000e+000,3,9.913724e-001,0.000000e+000,,,,,,,,,,,,,,24,1,6.000000e+000,2.470398e-002,0.000000e+000,0,,0,
